Mensagem,Bateria,Tag,Serial,Familia
13/11/2020 01:18:00,78.08430721874998,4101310,0881 J B,CDTR14
15/11/2020 10:54:40,87.82463596874999,4086284,0959 J A,CDTR14
10/11/2019 17:26:05,70.63,4095796,1269 J A,CDTR14
17/09/2019 17:22:10,77.02,4071843,1310 J B,CDTR14
07/11/2020 07:00:17,73.06197604687503,4105022,1208 J A,CDTR14
24/12/2019 23:34:20,80.67162510937499,4072279,1244 J B,CDTR14
18/11/2020 01:43:45,88.1289695625,4080169,0182 J A,CDTR14
05/03/2020 22:39:28,65,4080652,0002 J A,CDTR14
01/12/2019 03:59:25,61.03886971874999,4080204,0316 J A,CDTR14
18/11/2020 11:37:35,89.803079953125,4084983,0773 J B,CDTR14
29/08/2019 13:20:16,78.08,4085864,0003 J B,CDTR14
05/08/2020 07:27:42,66.51777018749999,4104686,0041 J B,CDTR14
15/08/2020 07:31:01,78.08430721874998,4096560,0683 J A,CDTR14
22/10/2020 11:41:17,28.77423745312501,4073649,1023 J B,CDTR14
01/11/2020 00:27:50,81.88913174999999,4085647,0046 J C,CDTR14
24/07/2020 19:51:30,40.340774484375004,4104786,1129 J R A X,CDTR14
05/11/2020 09:58:45,53.73365760937503,4067141,0956 J B,CDTR14
15/02/2020 00:32:05,59.21,4103077,0664 J B,CDTR14
20/07/2020 09:56:01,47.03718159374995,4096584,1577 J A,CDTR14
05/11/2020 01:50:01,77.01896737500005,4086391,0084 J A,CDTR14
11/11/2020 16:08:48,64.69142409375002,4081809,0417 J A,CDTR14
18/11/2020 10:36:09,86.15049112499997,4081093,1634 J B,CDTR14
28/02/2020 16:49:56,77.78,4081195,1685 J A,CDTR14
18/11/2020 03:24:40,71.38786565624997,4082877,1705 J A,CDTR14
10/10/2020 13:36:01,86.45489362500001,4081673,1709 J B,CDTR14
16/03/2020 22:20:24,89.8,4081592,1766 J B,CDTR14
21/10/2020 10:21:05,60.886668468749974,4083684,1797 J B,CDTR14
21/10/2020 19:19:32,74.88832214062501,4084336,0734 J A,CDTR14
13/09/2020 08:47:38,56.92964268750001,4082022,1766 J A,CDTR14
28/09/2020 00:56:43,60.582300421875004,4095374,0351 J A,CDTR14
